"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1788800643303629261","Fri May 10 08:19:52 +0000 2024","12","@Lepismaaa Requirements: 1. Minimal pengalaman 2 tahun 2. Menguasai PHP MariaDB (MySQL) Linux Query AJAX. Framework PHP nya ga disebutin seems pretty easy to pass ","1788846403827146882","","Lepismaaa","in","Busan, Republic of Korea","0","5","0","https://twitter.com/primawansatrio/status/1788846403827146882","104823513","primawansatrio"
"1788799713640100330","Fri May 10 05:46:40 +0000 2024","6","@gatere_mark @MicrosoftEdge @MSFTCopilot watu ya linux tunakaa side gani?","1788807851642703961","","gatere_mark","in","127.0.0.1","0","1","0","https://twitter.com/v_mutethia_/status/1788807851642703961","937433896249057280","v_mutethia_"
"1788489601075577015","Thu May 09 08:54:36 +0000 2024","1","@eslavita2 @0xV777 Ubuntu debian red hat(servidores) suse y linux mint","1788492757910057216","","eslavita2","in","Madrid, Comunidad de Madrid","0","0","0","https://twitter.com/ADAM_lq87/status/1788492757910057216","400372140","ADAM_lq87"
"1788486861087793363","Thu May 09 08:31:10 +0000 2024","0","Info sec #CyberSecurity #Hacking #cyber #info security #arduinolove #Arduino #cyberattack #Linux #MachineLearning #DataAnalytics #snapchatdown #100DaysOfCode #100daysofcodechallenge #Python #javascript #AI #webdevelopment #twitter #ETH https://t.co/aItVZlgwtJ","1788486861087793363","https://pbs.twimg.com/media/GNH7UVzWAAABRaJ.jpg","","in","Spain","0","0","0","https://twitter.com/nenborxx/status/1788486861087793363","1689424627712290816","nenborxx"
"1788057859777089733","Thu May 09 08:07:26 +0000 2024","0","@moodytunes15 Ayaneo ini os-nya android. ROG os-nya windows Steamdeck os bawaan sendiri steam os (basenya linux) Kalo udah punya hp/tab android ga usah beli ayaneo","1788480885752525291","","moodytunes15","in","Ultima Thule","0","0","0","https://twitter.com/rollersk8erboi/status/1788480885752525291","898242912693100544","rollersk8erboi"
"1788173558683709564","Thu May 09 07:44:52 +0000 2024","0","@educatedear Putinun anasi bu gece sikulecek","1788475209269321780","","educatedear","in","Kulak arkası","0","0","0","https://twitter.com/icmiskelle/status/1788475209269321780","1730228658323812352","icmiskelle"
"1788474517842485496","Thu May 09 07:42:07 +0000 2024","1","Intro: Long-Short Term Memory LSTMs. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode https://t.co/ae3VbAcqAh https://t.co/DR4k7oUWH7","1788474517842485496","https://pbs.twimg.com/media/GNHwF3WWQAANcQV.jpg","","in","Redondo Beach, CA","0","0","3","https://twitter.com/gp_pulipaka/status/1788474517842485496","4263007693","gp_pulipaka"
"1788255480495874213","Thu May 09 07:04:01 +0000 2024","0","@sridarwanto @ethadisaputra Betul 3 tahun berinteraksi dengan dos 5-6. Kemudian ketemu windows 3.xx dan 95. Setelah itu win 98 NT xx ME 2000 XP Longhorn Vista 7 8 10 11 sekarang. Nunggu 12. Kalau linux pertama kenal tahun 2000 dengan redhat 6 ","1788464928334184644","","sridarwanto","in","","0","1","0","https://twitter.com/slamet_nasib/status/1788464928334184644","1605469656470286343","slamet_nasib"
"1788134842095350053","Thu May 09 06:42:02 +0000 2024","0","@thatstraw Phone : Android Desktop : Linux Mint Laptop : Zorin/Ubuntu/Fedora","1788459397309472905","","thatstraw","in","France","0","0","0","https://twitter.com/EshineByond/status/1788459397309472905","601453966","EshineByond"
"1788453748815143259","Thu May 09 06:19:36 +0000 2024","0","Info sec #CyberSecurity #Hacking #cyber #info security #arduinolove #Arduino #cyberattack #Linux #MachineLearning #DataAnalytics #snapchatdown #100DaysOfCode #100daysofcodechallenge #Python #javascript #AI #webdevelopment #twitter #ETH https://t.co/BLjdGzynet","1788453748815143259","https://pbs.twimg.com/media/GNHdM7PXAAAMlij.jpg","","in","United Kingdom","0","0","0","https://twitter.com/conzcyber/status/1788453748815143259","1209531365651361792","conzcyber"
"1788450575782453673","Thu May 09 06:06:59 +0000 2024","0","udah lama move on dari windows dan milih Linux Mint. karena juga gak butuh aplikasi tertentu Office Suite udah ada Google Platform jadi malah enak gak usah simpan file di local drive. https://t.co/H0EXdlBfad","1788450575782453673","","","in","Kota Malang, Jawa Timur","0","0","0","https://twitter.com/teddykusumaw81/status/1788450575782453673","87327124","teddykusumaw81"
"1788134842095350053","Thu May 09 05:36:52 +0000 2024","0","@thatstraw Manjaro KDE","1788442995697795199","","thatstraw","in","Coos Bay, Oregon","0","0","0","https://twitter.com/CheDean/status/1788442995697795199","16492574","CheDean"
"1788373482281345220","Thu May 09 05:30:50 +0000 2024","0","@hayfaaLeiaa Nk la blh tak?","1788441475795255579","","hayfaaLeiaa","in","Malaysia","0","0","0","https://twitter.com/NikLinux08/status/1788441475795255579","1747827705146662912","NikLinux08"
"1788438723203567682","Thu May 09 05:19:53 +0000 2024","2","Power woiii movie 13 Bom Di Jakarta ni. Aku respect part yang hacking2 tu pakai linux command betul2 .","1788438723203567682","","","in","GBK","0","0","0","https://twitter.com/amrin_hidayat/status/1788438723203567682","575763572","amrin_hidayat"
"1788412032548741617","Thu May 09 04:23:07 +0000 2024","0","@ImnNazri @haziqwork @naifghazali @YanYoshida Tapi windows la. Belum mazhab linux macam other techbois","1788424434447245399","","naim__x","in","Kuala Lumpur Federal Territory","0","0","0","https://twitter.com/naim__x/status/1788424434447245399","336548567","naim__x"
"1786115457227067854","Thu May 09 03:33:53 +0000 2024","0","@BobWeide Indonesia https://t.co/kuvtlaOm6F","1788412044250853679","https://pbs.twimg.com/media/GNG3RV5aQAEbW5-.jpg","BobWeide","in","","0","0","0","https://twitter.com/SN00PYD00/status/1788412044250853679","891125224661368833","SN00PYD00"
"1788409363276742768","Thu May 09 03:23:17 +0000 2024","2","Nitakupa njia ya kugundua base on 1️⃣ Vulnerabilidades 2️⃣ Windows 3️⃣ MacOS 4️⃣ Linux Nikianza na 1️⃣ Windows Kwa wale watumiaji wa Os hii Utatumia TronScript Hii ni programu inayoweza ku run kwenye system na kutafuta virus Ina uwezo wa ku detect pamoja na kueliminate. https://t.co/wugapPU5sh","1788409380318142910","https://pbs.twimg.com/media/GNG02FeWsAAjYcG.jpg","GoodluckMalekoJ","in","Dar es Salaam, Tanzania","0","1","2","https://twitter.com/GoodluckMalekoJ/status/1788409380318142910","1263204828546830336","GoodluckMalekoJ"
"1788134842095350053","Thu May 09 02:04:51 +0000 2024","0","@thatstraw Linux Ubuntu.","1788389638693953849","","thatstraw","in","Ilha de Itamaracá, Brasil","0","0","0","https://twitter.com/TTdeWendell/status/1788389638693953849","1510358406556696584","TTdeWendell"
"1788081098305724693","Thu May 09 01:24:22 +0000 2024","0","@miniloveattack Namanya pacaran nggak ada yang sweet kecuali dah nikah terus mau sweet-sweet an dah bisa halal dan nggak takut kalo ditinggal.","1788379452973695277","","miniloveattack","in","","0","0","0","https://twitter.com/SN00PYD00/status/1788379452973695277","891125224661368833","SN00PYD00"
"1788042560679862547","Thu May 09 01:21:31 +0000 2024","1","@T0M5helby Asal nggak dipilih lah pemilihnya aja yang aneh. Kata Ulama pemimpin di antara kalian ya kelakuannya nggak jauh beda sama pemilihnya. Pemimpin itu cerminan rakyat. Kalo rakyatnya sholeh pemimpinnya pasti sholeh. Kalo rakyatnya hedon pemimpinnya pasti juga hedon.","1788378734061637709","","T0M5helby","in","","0","0","0","https://twitter.com/SN00PYD00/status/1788378734061637709","891125224661368833","SN00PYD00"
"1788237579495882776","Thu May 09 01:16:37 +0000 2024","0","@merapi_uncover Bola-bali kejadian ngene ngasi mikir ki wong-wong ngerti sisi terdekat ora sih. Mosok sisi kiri jalan ngarep APILL malah belok kanan (motong) terlalu nekat sih opo neh ring road sek kendaraan buanter e ra umum. Padahal kendaraan sek sisi kanan arep lurus opo belok kanan.","1788377501464760727","","merapi_uncover","in","","0","0","0","https://twitter.com/SN00PYD00/status/1788377501464760727","891125224661368833","SN00PYD00"
"1788164916299321600","Wed May 08 11:11:53 +0000 2024","1","TLS vs IPsec vs SSH #infosec #cybersecurity #pentesting #redteam #VPN #networking #networksecurity #infosecurity #cyberattacks #Security #Linux #VPNworks #cybersecurityawareness #TLS #IPsec #SSH #bugbounty #bugbountytips #attacks #cyberattack https://t.co/HvFiYGjnq4","1788164916299321600","https://pbs.twimg.com/media/GNDV832XUAEAZNQ.png","","in","Pune,Maharashtra, India","0","0","1","https://twitter.com/Im_AjayPrakash/status/1788164916299321600","1111171910287663105","Im_AjayPrakash"
